Nom,postal,INS
Heinsch,6700,81011
Heist-aan-Zee,8301,31008
HEIST-OP-DEN-BERG,2220,12014
Hekelgem,1790,23030
Heks,3870,73024
Helchteren,3530,72014
Heldergem,9450,41025
HÉLÉCINE,1357,25118
Helen-Bos,3440,24037
Helkijn,8587,34015
Hellebecq,7830,51031
Hemelveerdegem,9571,45013
HEMIKSEM,2620,11018
Hemptinne-lez-Éghezée,5380,92063
Hemptinne-lez-Florennes,5620,93033
Hendrieken,3840,73025
Henis,3700,73026
Hennuyères,7090,55016
Henri-Chapelle,4841,63032
Henripont,7090,55017
HENSIES,7350,53039
Heppen,3971,71023
Heppenbach,4771,63033
Heppignies,6220,52032
HERBEUMONT,6887,84029
Herchies,7050,53040
Herderen,3770,73027
Herdersem,9310,41026
HERENT,3020,24038
HERENTALS,2200,13011
HERENTHOUT,2270,13012
Herfelingen,1540,23031
Hergenrath,4728,63034
Hérinnes,7742,57037
HERK-DE-STAD,3540,71024
Hermalle-sous-Argenteau,4681,62049
Hermalle-sous-Huy,4480,61027
Hermée,4680,62050
Hermelgem,9630,45067
Hermeton-sur-Meuse,5540,93034
HERNE,1540,23032
HÉRON,4217,61028
Herquegies,7911,51032
Herseaux,7712,54004
HERSELT,2230,13013
HERSTAL,4040,62051
HERSTAPPE,3717,73028
Hertain,7522,57038
Herten,3831,73029
Hertsberge,8020,31009
HERVE,4650,63035
HERZELE,9550,41027
Heule,8501,34016
Heure,5377,91066
Heure-le-Romain,4682,62052
Heurne,9700,45014
Heusden (Limburg),3550,71025
Heusden (Oost-Vlaanderen),9070,44028
HEUSDEN-ZOLDER,3550,71070
Heusy,4802,63036
HEUVELLAND,8950,33039
Hever,3191,24039
Heverlee,3001,24040
Hévillers,1435,25040
Heyd,6941,83025
Hillegem,9550,41028
Hingene,2880,12015
Hingeon,5380,92064
Hives,6984,83026
Hoboken,2660,11019
Hodeige,4351,64035
Hodimont,4800,63090
Hodister,6987,83027
Hody,4162,61029
HOEGAARDEN,3320,24041
HOEILAART,1560,23033
Hoeke,8340,31010
Hoelbeek,3746,73030
Hoeleden,3471,24042
